track,artist,spotify_playlist,spotify_charts,spotify_streams,apple_playlist,deezer_playlist,deezer_charts,shazam_charts,datetime,is_outlier
Deep Down (feat. Never Dull),Alok,61133.0,99451251.0,335203899.0,92.0,111.0,2069650.0,1795229.0,2022-06-17,True
No Me Conoce - Remix,Jhay Cortez,135811.0,46929639.0,1367265268.0,118.0,45.0,1959690.0,2785821.0,2019-05-17,True
ýýCýýmo Pasýý?,Ela Taubert,3662.0,17901827.0,61288751.0,10.0,15.0,331202.0,610292.0,2024-02-14,True
Freaky Friday (feat. Chris Brown),Lil Dicky,82446.0,12953022.0,670298052.0,28.0,13.0,45931.0,854584.0,2018-03-15,True
Still Rollin,Shubh,18344.0,7425022.0,191465461.0,21.0,1.0,22131.0,267764.0,2023-05-19,True
Safe And Sound,Capital Cities,256512.0,74267670.0,1286089822.0,118.0,81.0,172564.0,21359402.0,2012-01-01,True
Mal Hombre,Kim Loaiza,1104.0,1717958.0,28817964.0,1.0,2.0,60358.0,49569.0,2023-10-25,False
Teeth,5 Seconds of Summer,103554.0,18582680.0,683247723.0,62.0,10.0,551258.0,3637003.0,2019-08-21,True
I Took A Pill In Ibiza,Mike Posner,17799.0,3474319.0,83366020.0,18.0,19.0,117547.0,560533.0,2015-06-22,True
Run Free,Deep Chills,17950.0,3630498.0,86943003.0,2.0,5.0,5172.0,1866241.0,2017-08-18,True
In The Dark,Purple Disco Machine,34102.0,6137203.0,177722624.0,62.0,32.0,846073.0,5644172.0,2022-01-21,True
Felina,WIU,35385.0,8942936.0,227079649.0,18.0,21.0,258759.0,252351.0,2022-09-22,True
Meet you at the Graveyard,Cleffy,21000.0,7441709.0,95871805.0,6.0,6.0,53422.0,1905641.0,2023-10-06,True
Sexy to Someone,Clairo,2626.0,37148745.0,15290073.0,53.0,27.0,2902501.0,19920.0,2024-05-23,False
Se Le Ve,Dï¿½ï¿½melo ,43572.0,11285970.0,240138585.0,34.0,7.0,33136.0,601506.0,2021-08-12,True
Coraï¿½ï¿½ï¿½ï¿½o,WIU,30426.0,7338920.0,239669425.0,12.0,29.0,657656.0,235905.0,2022-11-29,True
FEARLESS,LE SSERAFIM,20231.0,4756698.0,312942305.0,19.0,3.0,2892.0,854584.0,2022-05-02,True
Let It Go,James Bay,128593.0,56315096.0,1197774081.0,220.0,71.0,277681.0,9218458.0,2014-01-01,True
Where It Ends,Bailey Zimmerman,28857.0,7439902.0,178441881.0,19.0,10.0,1718435.0,456834.0,2022-08-19,True
drivers license,Olivia Rodrigo,9903.0,2638527.0,2184754018.0,51.0,2.0,424.0,854584.0,2021-01-08,True
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),L7NNON,17907.0,7303868.0,86262202.0,10.0,37.0,107890.0,316099.0,2022-04-08,True
Carry You Home,Alex Warren,1095.0,21925889.0,9428361.0,13.0,6.0,77312.0,57380.0,2024-05-31,False
City Boys,Burna Boy,58113.0,19505579.0,152289860.0,79.0,25.0,983428.0,1398310.0,2022-02-23,True
Wellerman - Sea Shanty,Nathan Evans,103694.0,5805294.0,405754991.0,14.0,1.0,892.0,4316684.0,2021-01-21,True
Every Summertime,NIKI,60923.0,13164145.0,383171089.0,26.0,4.0,7021.0,979445.0,2021-08-10,True
MANDA BALA,Ariis,8387.0,6543410.0,63016744.0,1.0,15.0,237120.5,545233.0,2023-12-08,True
Walk It Talk It,Migos,150813.0,29317904.0,778459270.0,80.0,30.0,235324.0,3559532.0,2018-01-26,True
TQMQA,Eladio Carrion,9916.0,8275134.0,42043071.0,14.0,7.0,12107030.0,166487.0,2023-12-14,False
Face Off,Tech N9ne,58039.0,6855506.0,194908788.0,4.0,5.0,10634.0,1640152.0,2021-10-07,True
Otra vez (feat. J Balvin),Zion & Lennox,48788.0,18231793.0,912446776.0,45.0,13.0,15030.0,2796246.0,2016-09-30,True
BOOKER T,Bad Bunny,62435.0,9324189.0,403041493.0,38.0,35.0,295037.0,686025.0,2020-11-27,True
Girls Never Die,tripleS,769.0,17349465.0,8797665.0,13.0,4.0,7100.0,30149.0,2024-05-08,False
"24/7, 365",elijah woods,12758.0,7968409.0,91124161.0,13.0,15.0,237120.5,382697.0,2023-07-24,True
POCPOC,PEDRO SAMPAIO,9079.0,26226576.0,137276005.0,21.0,43.0,4550743.0,118848.0,2023-11-23,False
Je M'appelle,Benzz,83611.0,6994071.0,231745345.0,13.0,6.0,18881.0,1068455.0,2022-04-21,True
Soap,Melanie Martinez,48604.0,10908000.0,349538935.0,25.0,7.0,31712.0,854584.0,2015-07-10,True
Bam Yang Gang,BIBI,3403.0,11994440.0,33558829.0,6.0,15.0,237120.5,89031.0,2024-02-13,False
Never Forget You,Zara Larsson,98962.0,23627265.0,972089598.0,140.0,29.0,226271.0,7156194.0,2015-09-10,True
Tyler Herro,Jack Harlow,127984.0,22280549.0,555631717.0,78.0,16.0,9685.0,1141637.0,2020-10-22,True
"i hate u, i love u (feat. olivia o'brien)",gnash,122979.0,53743248.0,1405772026.0,4.0,23.0,483769.0,854584.0,2016-02-17,True
Ophelia,The Lumineers,213943.0,47156566.0,1274848626.0,86.0,34.0,41816.0,3480225.0,2016-02-05,True
Manos Rotas,DELLAFUENTE,18359.0,8998620.0,106759874.0,12.0,6.0,49793.0,315849.0,2023-11-16,True
Ella No Es Tuya - Remix,Rochy RD,76669.0,15412661.0,364856266.0,57.0,15.0,192642.0,955292.0,2021-02-03,True
Satellite,Harry Styles,51605.0,21294785.0,455718141.0,40.0,33.0,1564725.0,1138012.0,2022-05-20,True
La Santa,Bad Bunny,96498.0,35375775.0,915557792.0,86.0,25.0,403347.0,1024927.0,2020-02-29,True
Tera Ban Jaunga,Akhil Sachdeva,15632.0,8831229.0,211095929.0,16.0,15.0,237120.5,299317.0,2019-06-14,True
Monï¿½ï¿½y so,Yeat,110916.0,13349294.0,378668802.0,6.0,15.0,237120.5,3103353.0,2021-09-10,True
Ranjha Maahi,Siddhant,75.0,45363.0,40654.0,1.0,15.0,237120.5,344.0,2023-01-12,False
Hotline Bling,Drake,35.0,3015.0,239850720.0,28.0,15.0,237120.5,854584.0,2016-11-04,True
Sure Thing,Miguel,190857.0,100835580.0,1335928309.0,154.0,84.0,7801382.0,8783890.0,2010-05-25,True
Talibans,Byron Messia,28810.0,5603761.0,54683202.0,51.0,4.0,173622.0,1296410.0,2023-01-20,True
Love Story (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,71179.0,60479422.0,763292840.0,100.0,28.0,455783.0,1405713.0,2021-02-12,True
Skin de Bandida,Oscar Maydon,14482.0,10063839.0,176958728.0,10.0,9.0,1545158.0,308713.0,2023-09-22,True
Escapism. - Sped Up,RAYE,47167.0,13191481.0,270327239.0,13.0,7.0,68716.0,1692925.0,2022-11-25,True
Lisa,Young Miko,30013.0,8335647.0,209988103.0,14.0,7.0,78288.0,429046.0,2023-03-03,True
I Can Feel It,Kane Brown,4589.0,5737335.0,36059521.0,19.0,3.0,1795.0,251945.0,2023-09-21,True
ýýýý ýýýý ýýýýýýýý,ýýýýýýýý ýýýýýýýýýýýý,32312.5,13259481.0,239850720.0,28.0,15.0,237120.5,854584.0,2024-05-02,True
you should see me in a crown,Billie Eilish,103375.0,35817894.0,860596912.0,82.0,20.0,303683.0,3668559.0,2018-07-18,True
Te Robarï¿,Nicky Jam,59096.0,18863568.0,547483874.0,59.0,26.0,623759.0,2115863.0,2019-03-22,True
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,46385.0,17500223.0,853574945.0,28.0,15.0,237120.5,854584.0,2018-10-25,True
FBI,Picus,295.0,852893.0,6591040.0,1.0,1.0,50451.0,35815.0,2024-02-29,False
Come and Say - Original Mix,"""XY""",1.0,9.0,239850720.0,28.0,15.0,237120.5,854584.0,2022-11-14,True
Somebody (2024),Gotye,14144.0,76264974.0,51862502.0,32.0,40.0,781938.0,230260.0,2024-02-09,True
Dandelions,Ruth B.,183674.0,67708124.0,1561518107.0,40.0,63.0,404143.0,4364553.0,2017-04-28,True
Malvada,Zï¿½ï¿½ Fe,17110.0,7754576.0,166427224.0,18.0,25.0,320796.0,141986.0,2022-01-28,False
I Love You So,The Walters,218492.0,59487193.0,1410353130.0,38.0,29.0,677739.0,3007369.0,2014-11-28,True
i love you,Billie Eilish,116055.0,42732119.0,930343185.0,35.0,36.0,606884.0,2035027.0,2019-03-29,True
Not Fair,Niklas Dee,46918.0,61515543.0,164667038.0,23.0,31.0,573152.0,322313.0,2023-06-02,True
Benjamins Deli,JRitt,446.0,255703.0,996881.0,28.0,15.0,237120.5,854584.0,2023-10-24,True
Him & I (with Halsey),G-Eazy,141296.0,23238086.0,949651805.0,69.0,31.0,290595.0,13315971.0,2017-11-30,True
STAY (with Justin Bieber),The Kid LAROI,11726.0,2225897.0,3107100349.0,146.0,1.0,8421.0,15411173.0,2021-07-09,True
TIKTOK,Ian Lucas,113.0,1773907.0,2164864.0,28.0,15.0,237120.5,3101.0,2024-05-23,False
Call Your Friends,Rod Wave,10429.0,2724041.0,47296342.0,10.0,13.0,31977.0,208435.0,2023-08-18,True
Rosa Pastel,Peso Pluma,22780.0,5337724.0,192231633.0,12.0,1.0,72.0,289402.0,2023-04-20,True
Dirt Cheap,Cody Johnson,8961.0,11610924.0,44047842.0,16.0,1.0,1149.0,252283.0,2023-11-03,True
Borderline,Tame Impala,156377.0,27309112.0,671310199.0,46.0,31.0,173292.0,2471535.0,2020-02-14,True
Tï¿,Carin Leon,31216.0,7536781.0,327311508.0,15.0,7.0,81984.0,1353689.0,2020-05-22,True
No Time To Die,Billie Eilish,91391.0,29634724.0,610838644.0,88.0,42.0,5784923.0,3110101.0,2020-02-13,True
All Eyes on Me,Dj Belite,512.0,52259.0,155367.0,20.0,15.0,237120.5,8238004.0,2022-12-20,True
En El Radio Un Cochinero,Victor Cibrian,26581.0,6387381.0,215837483.0,3.0,15.0,237120.5,655686.0,2022-05-13,True
Safari,J Balvin,61743.0,16037041.0,559708419.0,117.0,38.0,115932.0,5773120.0,2016-06-03,True
comethru,Jeremy Zucker,90889.0,19172749.0,822935346.0,55.0,17.0,47611.0,2123160.0,2018-09-07,True
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýý,128.0,136647.0,2409532.0,3.0,15.0,237120.5,14731.0,2024-04-05,False
ROCKSTAR,Junior H,13021.0,14018925.0,266127900.0,3.0,6.0,1853363.0,445730.0,2023-10-05,True
Boy's a liar,PinkPantheress,39800.0,6108454.0,203628716.0,23.0,5.0,15572.0,557783.0,2022-11-30,True
O Patinho Colorido,Bento e Totï¿,2068.0,188999.0,11029541.0,28.0,15.0,237120.5,13061.0,2019-11-15,False
La Mejor Version de Mi,NATTI NATASHA,33020.0,14584019.0,109221089.0,13.0,2.0,1181.0,854584.0,2019-02-12,True
B.O.T.A. (Baddest Of Them All),Eliza Rose,34495.0,3089794.0,47723324.0,16.0,1.0,817.0,3631070.0,2022-06-15,True
Love Terremoto - Ao Vivo,Os Barï¿½ï¿½es Da Pisad,1868.0,3645660.0,17075528.0,8.0,4.0,201570.0,5899.0,2022-08-03,False
Lucky Girl Syndrome,ILLIT,1933.0,2045965.0,29089538.0,6.0,15.0,237120.5,43383.0,2024-03-25,False
...Baby One More Time (from Kung Fu Panda 4),Tenacious D,5020.0,3964955.0,28423160.0,12.0,15.0,237120.5,854584.0,2024-03-08,True
Little Dark Age,MGMT,197169.0,31052903.0,641453269.0,55.0,27.0,137399.0,5504564.0,2017-10-17,True
Una Lady Como Tï¿,Manuel Turizo,41.0,3790.0,2935372.0,28.0,15.0,237120.5,854584.0,2016-12-01,True
Whatever She Wants,Bryson Tiller,529.0,187667.0,207093873.0,30.0,15.0,237120.5,854584.0,2024-02-12,True
Hypnotized,Purple Disco Machine,77323.0,15730444.0,354683755.0,93.0,49.0,1245110.0,8349963.0,2020-04-08,True
Diable,Ven'nus,117.0,4155.0,53058.0,28.0,15.0,237120.5,142.0,2023-02-28,False
Laung Laachi Title Track,Mannat Noor,6294.0,1007695.0,30173434.0,6.0,15.0,237120.5,256247.0,2018-02-22,True
Chunni Me Perfume Lagawe,Gajendra Gurjar,32312.5,13259481.0,239850720.0,28.0,15.0,237120.5,2.0,2022-06-13,False
Koka,Mankirt Aulakh,1287.0,3341218.0,28816253.0,2.0,15.0,237120.5,41257.0,2023-11-06,False
ELEVEN,IVE,23542.0,9642342.0,306760464.0,33.0,3.0,10722.0,493607.0,2021-12-01,True
Hasta el Amanecer,Nicky Jam,935.0,382240.0,560103803.0,28.0,15.0,22322.0,854584.0,2016-01-15,True
Space Cadet (feat. Gunna),Metro Boomin,204396.0,35887216.0,917916061.0,32.0,9.0,24228.0,3109292.0,2018-11-02,True
Poker Face ( Remix ),Bora Media,1.0,5.0,1271094976.0,28.0,15.0,237120.5,854584.0,2023-10-17,True
November Rain (2022 Version),Guns N' Roses,2572.0,13575009.0,14394612.0,16.0,2.0,92713.0,122032.0,2022-11-04,False
ýýýýýýýýýýýý ýýýýýýýýýýýý,Lusia Chebotina,13584.0,1196310.0,32318892.0,23.0,3.0,657583.0,1544949.0,2021-10-29,True
We Ride,Bryan Martin,30976.0,8143503.0,200017368.0,6.0,5.0,1596411.0,503044.0,2022-10-28,True
Rich Spirit,Kendrick Lamar,68188.0,10639841.0,254191262.0,23.0,7.0,165039.0,555350.0,2022-05-13,True
Cochinae,Julianno Sosa,35527.0,6146030.0,155050178.0,3.0,2.0,1607668.0,430196.0,2022-04-19,True
Juju On That Beat (TZ Anthem),Zay Hilfigerrr,30216.0,6007155.0,243305603.0,28.0,5.0,1790.0,854584.0,2016-09-30,True
I'm Not The Only One,Sam Smith,164059.0,76679523.0,1879966374.0,124.0,213.0,508144.0,15809409.0,2014-01-01,True
Murder,Bgnzinho,1475.0,166424.0,2613573.0,28.0,15.0,237120.5,71048.0,2023-02-14,False
Major Distribution,Drake,70800.0,15434966.0,199662854.0,27.0,4.0,14577.0,312418.0,2022-11-04,True
Psikopat,Butrint Imeri,387.0,318456.0,2112678.0,1.0,15.0,237120.5,13123.0,2024-05-16,False
Piï¿½ï¿½man Deï¿,Semicenk,16247.0,2133867.0,134291091.0,10.0,1.0,1566667.0,409388.0,2023-06-02,True
Dynamite,Taio Cruz,204514.0,89320567.0,1070923216.0,133.0,48.0,1160892.0,8023558.0,2010-01-01,True
Chlorine,Twenty One Pilots,91490.0,9737600.0,517990518.0,28.0,21.0,93996.0,854584.0,2018-10-05,True
GIVENCHY,Duki,48629.0,9332907.0,240519561.0,13.0,8.0,183474.0,177813.0,2022-07-20,True
Here,Alessia Cara,76646.0,16115782.0,616445374.0,19.0,32.0,371682.0,7438678.0,2015-04-30,True
COME UN TUONO (feat. Guï¿½,Rose Villain,2987.0,6810196.0,53590796.0,21.0,2.0,3766780.0,488628.0,2024-03-07,True
Favorito,Camilo,42311.0,12661251.0,488713982.0,88.0,30.0,195153.0,848173.0,2020-03-26,True
Royalty,Egzod,52261.0,12634570.0,317252487.0,6.0,8.0,279094.0,4302673.0,2021-04-22,True
Am I Wrong,Nico & Vinz,160031.0,38549276.0,965827790.0,89.0,64.0,111728.0,19231875.0,2013-01-01,True
Tennessee Orange,Megan Moroney,28139.0,12480714.0,227893586.0,33.0,5.0,1370.0,708143.0,2022-09-02,True
Still Trappin' (with King Von),Lil Durk,76081.0,7784086.0,176140377.0,36.0,7.0,31768.0,494233.0,2020-12-24,True
De Fresa y Coco,Luis R Conriquez,7818.0,5727811.0,81186913.0,3.0,1.0,2878.0,147308.0,2023-11-10,False
He Dead (Oil Thief Remix),clipping.,31.0,543.0,14148.0,28.0,15.0,237120.5,7.0,2022-09-21,False
YUM YUM (Slowed),LXNGVX,10792.0,6471028.0,52295701.0,28.0,15.0,237120.5,353346.0,2023-06-23,True
Issues,Julia Michaels,86990.0,25275888.0,1214862854.0,148.0,41.0,562204.0,9191508.0,2017-01-13,True
Element,Pop Smoke,164690.0,25242475.0,523416171.0,14.0,4.0,538.0,916192.0,2020-02-07,True
n.h.i.e.,21 Savage,16786.0,13717188.0,102829758.0,32.0,32.0,262612.0,165768.0,2024-01-10,False
GOD'S COUNTRY,Travis Scott,34681.0,3243869.0,96802469.0,7.0,1.0,237120.5,69071.0,2023-07-28,False
Parado no Bailï¿½,MC L da Vinte,87059.0,13523070.0,387513964.0,8.0,17.0,106365.0,3685557.0,2018-07-23,True
El Paso del Gigante,Grupo Soï¿½ï¿½,1.0,1.0,25684.0,28.0,15.0,237120.5,854584.0,2023-11-24,True
